date,gross,take_home,hours,paysheet_url,addon_amount,stop_count,addon_avg,commission ,effective_hourly_rate,processed_date,week_id,month_id,quarter_id,year,is_bonus_week,notes,Time Per Stop (hrs),Time Per Stop (minutes),4 Pay Forecast Gross,4 Pay Forecast Net
05/23/2025,$754.00,$623.04,52,,,,,,,05/23/2025,2025-W21,2025-05,2025-Q2,2025,❌,,,,,
05/30/2025,$783.25,$645.54,53.5,,,,,,,05/30/2025,2025-W22,2025-05,2025-Q2,2025,❌,,,,,
06/06/2025,$656.50,$548.70,47,https://drive.google.com/file/d/1SaTzoLKp0nNz_avpNE1o_1D-QVI_bDy7/view?usp=drivesdk,$716.94,13,$55.15,$0.00,$13.00,06/06/2025,2025-W23,2025-06,2025-Q2,2025,❌,,3.62,216.9,,
06/13/2025,$513.00,$439.30,36.5,https://drive.google.com/file/d/1qvXpOYMMNDt-7w2_EGzdBq4vjXSfDdVl/view?usp=drivesdk,"$1,474.03",11,$134.00,$0.00,$13.00,06/13/2025,2025-W24,2025-06,2025-Q2,2025,❌,,3.32,199.1,,
06/20/2025,$719.88,$596.63,50.25,https://drive.google.com/file/d/1aTxCi3vofRf_hGRJUuid31TvJXpNyAnA/view?usp=drivesdk,"$1,749.11",14,$124.49,$0.00,$13.00,06/20/2025,2025-W25,2025-06,2025-Q2,2025,❌,,3.59,215.4,,
06/27/2025,$695.88,$578.34,48.25,https://drive.google.com/file/d/1vMpv9-tG9Ftc7dkbGEW37a3jJdf8gv44/view?usp=drivesdk,"$1,218.77",17,$71.69,$0.00,$13.00,06/27/2025,2025-W26,2025-06,2025-Q2,2025,❌,,2.84,170.3,,
07/04/2025,$718.61,$595.61,45.75,https://drive.google.com/file/d/1KrmE3G-LpT_qaIOrE1RHyyV2jNvuunUn/view?usp=drivesdk,$745.98,13,$57.38,$36.25,$13.75,07/04/2025,2025-W27,2025-07,2025-Q3,2025,✅,,3.52,211.2,$646.00,$541.00
07/11/2025,$731.88,$606.27,45.25,https://drive.google.com/file/d/1Ei1nZYMEUw4-u-ERj-ZvrDqeNzF9Oah4/view?usp=drivesdk,$52.00,11,$4.73,$13.00,$15.29,07/11/2025,2025-W28,2025-07,2025-Q3,2025,✅,,4.11,246.8,$662.00,$552.00
07/18/2025,$792.15,$651.75,47,https://drive.google.com/file/d/1saO8ANe8mCfh7j48hlOtrYIaXRcwx773/view?usp=drivesdk,$232.00,6,$38.67,$32.25,$15.69,07/18/2025,2025-W29,2025-07,2025-Q3,2025,✅,,7.83,470,$717.00,$594.00
07/25/2025,$687.97,$572.99,41.75,https://drive.google.com/file/d/18HQeNT7KsZUKKFN_2AG3QPvHBxO9yIV8/view?usp=drivesdk,$190.40,13,$14.65,$47.60,$16.14,07/25/2025,2025-W30,2025-07,2025-Q3,2025,✅,,3.21,192.7,$735.00,$608.00
08/01/2025,$975.08,$790.67,49.25,https://drive.google.com/file/d/1-TVW_ZLOzGXl1tJnlDXHiMwHuS-jgh_L/view?usp=drivesdk,$610.49,14,$43.61,$152.62,$18.10,08/01/2025,2025-W31,2025-08,2025-Q3,2025,✅,,3.52,211.1,$733.00,$607.00
08/08/2025,$977.70,$792.78,51.5,https://drive.google.com/file/d/1P0N4Xc8osBUELUai5XLzEPNZNTTLrfMM/view?usp=drivesdk,$428.00,11,$38.91,$107.00,$17.08,08/08/2025,2025-W32,2025-08,2025-Q3,2025,✅,,4.68,280.9,$797.00,$655.00
